tarihSaat,Latitude,Longitude,VehicleID,id,UserID
2018-10-03 12:19,59.3491908,18.0591696,20,94,2
2018-10-03 12:20,59.3474313,18.0608567,20,95,2
2018-10-03 12:21,59.3467044970614,18.0615205017519,20,96,2
2018-10-03 12:22,59.344862561563,18.0636966203768,20,97,2
2018-10-03 12:23,59.3426853383322,18.0684486338119,20,98,2
2018-10-03 12:24,59.341584610473,18.0707080174853,20,99,2
2018-10-03 12:25,59.3401810169422,18.0770638960983,20,100,2
2018-10-03 12:26,59.3401810169422,18.0770638960983,20,101,2
2018-10-03 12:27,59.340169689857,18.0771240370252,20,102,2
2018-10-03 12:28,59.340169689857,18.0771240370252,20,103,2
2018-10-03 12:29,59.340169689857,18.0771240370252,20,104,2
2018-10-03 12:30,59.3401638972756,18.0771764745281,20,105,2
2018-10-03 12:37,59.3402655101562,18.0771771160981,20,106,2
2018-10-03 12:38,59.3402652360781,18.0771820998935,20,107,2
2018-10-03 12:39,59.3402652360781,18.0771820998935,20,108,2
2018-10-03 12:40,59.3401308448974,18.0772092426003,20,109,2
2018-10-03 12:41,59.3401308448974,18.0772092426003,20,110,2
2018-10-03 12:42,59.3401308448974,18.0772092426003,20,111,2
2018-10-03 13:24,59.3399453,18.079159,20,112,2
2018-10-03 13:25,59.3399739617292,18.0791524302038,20,113,2
2018-10-03 13:26,59.3398659615458,18.0793169656855,20,114,2
2018-10-03 13:27,59.3398659615458,18.0793169656855,20,115,2
2018-10-03 13:28,59.3397254822247,18.079266357692,20,116,2
2018-10-03 13:29,59.3397254822247,18.079266357692,20,117,2
2018-10-03 16:30,59.3352899,18.0732306,20,118,2
2018-10-03 16:31,59.335245,18.0732804,20,119,2
2018-10-03 16:32,59.3342597,18.0746884,20,120,2
2018-10-03 16:33,59.3338415,18.0752178,20,121,2
2018-10-03 16:34,59.3340495,18.0788091,20,122,2
2018-10-03 16:35,59.3330612,18.0834682,20,123,2
2018-10-03 16:36,59.3327555,18.082358,20,124,2
2018-10-03 16:37,59.3341696,18.083101,20,125,2
